nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
      4119, 6.693090812E-02, 8.098559774E-02, 3.609251862E-03,-2.385983545E-03
      4120, 7.187722660E-02, 7.662502904E-02, 2.684349946E-03,-1.950009756E-03
      4121, 7.656461057E-02, 7.195324383E-02, 1.904810662E-03,-1.487956408E-03
      4122, 8.093435941E-02, 6.698675085E-02, 1.256998722E-03,-1.015737750E-03
      4123, 8.498135026E-02, 6.177947534E-02, 7.481235218E-04,-5.626927003E-04
      4124, 8.871119810E-02, 5.630164545E-02, 3.586181500E-04,-1.379046919E-04
      4125, 9.206086175E-02, 5.060581796E-02, 7.612354720E-05, 2.398592135E-04
      4126, 9.504638166E-02, 4.473777140E-02,-1.094273198E-04, 5.566215733E-04
      4127, 9.767375718E-02, 3.868687912E-02,-2.154478150E-04, 8.099482023E-04
      4128, 9.990829910E-02, 3.247292730E-02,-2.571772972E-04, 9.952145137E-04
      4129, 1.017397689E-01, 2.614459718E-02,-2.528710303E-04, 1.114961955E-03
      4130, 1.031819316E-01, 1.972177888E-02,-2.207001740E-04, 1.174273288E-03
      4131, 1.042252406E-01, 1.320476089E-02,-1.693242132E-04, 1.174962350E-03
      4132, 1.048515800E-01, 6.628778146E-03,-1.093236449E-04, 1.125371281E-03
      4133, 1.050612922E-01, 2.532834827E-05,-5.179016815E-05, 1.035557571E-03
      4134, 1.048547731E-01,-6.578253176E-03,-1.434032308E-07, 9.203593508E-04
      4135, 1.042316230E-01,-1.315455151E-02, 4.273061534E-05, 7.961168169E-04
      4136, 1.031915018E-01,-1.967213993E-02, 7.346999367E-05, 6.724795715E-04
      4137, 1.017522964E-01,-2.609577551E-02, 9.597370881E-05, 5.599336473E-04
      4138, 9.992384066E-02,-3.242483072E-02, 1.176355784E-04, 4.696853532E-04
      4139, 9.769240333E-02,-3.863988967E-02, 1.436188445E-04, 4.086374870E-04
      4140, 9.506791389E-02,-4.469212759E-02, 1.808397783E-04, 3.801272249E-04
      4141, 9.208510557E-02,-5.056156962E-02, 2.391586569E-04, 3.881834722E-04
      4142, 8.873823898E-02,-5.625892405E-02, 3.279532664E-04, 4.324981007E-04
      4143, 8.501113298E-02,-6.173861232E-02, 4.540272051E-04, 5.071226135E-04
      4144, 8.096648447E-02,-6.694788216E-02, 6.262749564E-04, 6.091843655E-04
      4145, 7.659924665E-02,-7.191634852E-02, 8.533373470E-04, 7.350900302E-04
      4146, 7.191407365E-02,-7.659054768E-02, 1.132711031E-03, 8.696302929E-04
      4147, 6.696975926E-02,-8.095342439E-02, 1.473398084E-03, 1.005380544E-03
      4148, 6.173848693E-02,-8.502088629E-02, 1.880874053E-03, 1.134042276E-03
      4149, 5.625539870E-02,-8.872417388E-02, 2.339006412E-03, 1.237258153E-03
      4150, 5.058639578E-02,-9.206754208E-02, 2.859679690E-03, 1.310692023E-03
      4151, 4.470656299E-02,-9.506722953E-02, 3.447966380E-03, 1.346072439E-03
